Frequency;Current Noise
Hz;A/SQRT(Hz)
0;1.70E-10
0.48828;1.68E-13
0.97656;8.26E-14
1.46484;8.60E-14
1.95313;7.94E-14
2.44141;6.72E-14
2.92969;5.94E-14
3.41797;6.96E-14
3.90625;4.65E-14
4.39453;5.45E-14
4.88281;8.53E-14
5.37109;7.28E-14
5.85938;5.88E-14
6.34766;3.79E-14
6.83594;3.37E-14
7.32422;4.57E-14
7.8125;3.36E-14
8.30078;3.17E-14
8.78906;2.94E-14
9.27734;3.16E-14
9.76563;3.02E-14
10.2539;2.50E-14
10.7422;2.60E-14
11.2305;2.62E-14
11.7188;3.34E-14
12.207;2.44E-14
12.6953;3.17E-14
13.1836;1.86E-14
13.6719;2.79E-14
14.1602;2.09E-14
14.6484;3.08E-14
15.1367;2.09E-14
15.625;2.25E-14
16.1133;2.04E-14
16.6016;1.73E-14
17.0898;2.23E-14
17.5781;1.88E-14
18.0664;1.56E-14
18.5547;2.01E-14
19.043;1.79E-14
19.5313;2.08E-14
20.0195;1.36E-14
20.5078;2.42E-14
20.9961;1.79E-14
21.4844;1.45E-14
21.9727;1.79E-14
22.4609;1.74E-14
22.9492;1.29E-14
23.4375;1.65E-14
23.9258;1.40E-14
24.4141;1.59E-14
24.9023;1.69E-14
25.3906;1.30E-14
25.8789;1.73E-14
26.3672;1.87E-14
26.8555;1.50E-14
27.3438;1.57E-14
27.832;1.92E-14
28.3203;1.10E-14
28.8086;1.40E-14
29.2969;1.43E-14
29.7852;1.44E-14
30.2734;1.44E-14
30.7617;1.44E-14
31.25;1.31E-14
31.7383;1.43E-14
32.2266;1.61E-14
32.7148;9.07E-15
33.2031;1.30E-14
33.6914;1.36E-14
34.1797;1.33E-14
34.668;1.29E-14
35.1563;1.02E-14
35.6445;1.11E-14
36.1328;1.28E-14
36.6211;1.38E-14
37.1094;1.17E-14
37.5977;1.24E-14
38.0859;1.16E-14
38.5742;1.07E-14
39.0625;1.42E-14
39.5508;1.43E-14
40.0391;9.34E-15
40.5273;8.58E-15
41.0156;1.33E-14
41.5039;1.25E-14
41.9922;1.35E-14
42.4805;1.21E-14
42.9688;8.10E-15
43.457;1.23E-14
43.9453;1.44E-14
44.4336;2.50E-14
44.9219;2.33E-14
45.4102;3.93E-14
45.8984;2.68E-14
46.3867;1.73E-14
46.875;2.27E-14
47.3633;2.17E-14
47.8516;3.14E-14
48.3398;4.08E-14
48.8281;1.73E-13
49.3164;8.25E-14
49.8047;1.17E-13
50.293;6.38E-14
50.7813;2.72E-14
51.2695;3.76E-14
51.7578;2.63E-14
52.2461;1.73E-14
52.7344;2.36E-14
53.2227;1.46E-14
53.7109;1.38E-14
54.1992;9.82E-15
54.6875;1.78E-14
55.1758;1.76E-14
55.6641;1.54E-14
56.1523;1.49E-14
56.6406;2.77E-14
57.1289;4.32E-14
57.6172;2.20E-14
58.1055;2.10E-14
58.5938;3.85E-14
59.082;2.99E-14
59.5703;2.20E-14
60.0586;1.43E-14
60.5469;1.17E-14
61.0352;1.65E-14
61.5234;1.52E-14
62.0117;1.23E-14
62.5;1.88E-14
62.9883;1.77E-14
63.4766;1.86E-14
63.9648;1.88E-14
64.4531;1.56E-14
64.9414;2.03E-14
65.4297;2.11E-14
65.918;2.67E-14
66.4063;2.59E-14
66.8945;4.20E-14
67.3828;7.57E-14
67.8711;6.60E-14
68.3594;5.69E-14
68.8477;8.22E-14
69.3359;7.48E-14
69.8242;5.04E-14
70.3125;4.11E-14
70.8008;4.06E-14
71.2891;5.87E-14
71.7774;8.14E-14
72.2656;7.94E-14
72.7539;1.34E-13
73.2422;4.55E-13
73.7305;3.48E-13
74.2188;1.27E-13
74.707;8.11E-14
75.1953;5.61E-14
75.6836;3.88E-14
76.1719;4.00E-14
76.6602;2.97E-14
77.1484;2.53E-14
77.6367;2.27E-14
78.125;2.40E-14
78.6133;2.11E-14
79.1016;2.17E-14
79.5899;2.52E-14
80.0781;1.51E-14
80.5664;1.49E-14
81.0547;1.44E-14
81.543;1.50E-14
82.0313;1.29E-14
82.5195;1.46E-14
83.0078;1.34E-14
83.4961;1.38E-14
83.9844;1.31E-14
84.4727;1.61E-14
84.9609;1.44E-14
85.4492;1.19E-14
85.9375;1.21E-14
86.4258;1.42E-14
86.9141;9.20E-15
87.4024;1.32E-14
87.8906;1.54E-14
88.3789;8.77E-15
88.8672;1.03E-14
89.3555;1.30E-14
89.8438;8.11E-15
90.332;1.43E-14
90.8203;1.05E-14
91.3086;1.09E-14
91.7969;1.29E-14
92.2852;1.18E-14
92.7734;9.33E-15
93.2617;1.15E-14
93.75;9.70E-15
94.2383;8.85E-15
94.7266;1.09E-14
95.2149;1.07E-14
95.7031;1.11E-14
96.1914;1.14E-14
96.6797;1.36E-14
97.168;1.24E-14
97.6563;1.35E-14
98.1445;1.13E-14
98.6328;1.39E-14
99.1211;1.10E-14
99.6094;1.12E-14
100.098;2.48E-14
100.586;1.41E-14
101.074;1.46E-14
101.563;9.50E-15
102.051;8.64E-15
102.539;1.14E-14
103.027;1.17E-14
103.516;9.68E-15
104.004;8.58E-15
104.492;1.18E-14
104.98;1.20E-14
105.469;8.79E-15
105.957;1.08E-14
106.445;1.29E-14
106.934;9.56E-15
107.422;1.13E-14
107.91;1.02E-14
108.398;1.08E-14
108.887;9.42E-15
109.375;1.19E-14
109.863;1.32E-14
110.352;8.21E-15
110.84;1.22E-14
111.328;1.26E-14
111.816;9.28E-15
112.305;1.36E-14
112.793;1.32E-14
113.281;1.15E-14
113.77;1.56E-14
114.258;1.57E-14
114.746;1.53E-14
115.234;1.42E-14
115.723;1.21E-14
116.211;9.76E-15
116.699;9.90E-15
117.188;1.23E-14
117.676;1.04E-14
118.164;1.52E-14
118.652;1.10E-14
119.141;8.98E-15
119.629;1.15E-14
120.117;1.29E-14
120.605;9.46E-15
121.094;1.05E-14
121.582;7.36E-15
122.07;1.27E-14
122.559;1.00E-14
123.047;8.28E-15
123.535;1.16E-14
124.023;7.65E-15
124.512;9.75E-15
125;1.00E-14
125.488;1.14E-14
125.977;1.11E-14
126.465;8.37E-15
126.953;1.07E-14
127.441;1.28E-14
127.93;1.18E-14
128.418;8.55E-15
128.906;1.10E-14
129.395;8.26E-15
129.883;9.15E-15
130.371;9.43E-15
130.859;9.49E-15
131.348;1.31E-14
131.836;9.93E-15
132.324;1.08E-14
132.813;1.06E-14
133.301;1.03E-14
133.789;9.84E-15
134.277;1.13E-14
134.766;1.08E-14
135.254;9.46E-15
135.742;1.41E-14
136.23;1.32E-14
136.719;1.15E-14
137.207;1.09E-14
137.695;1.22E-14
138.184;1.07E-14
138.672;1.00E-14
139.16;1.12E-14
139.648;1.25E-14
140.137;1.06E-14
140.625;9.48E-15
141.113;8.20E-15
141.602;9.13E-15
142.09;7.48E-15
142.578;8.57E-15
143.066;1.08E-14
143.555;8.67E-15
144.043;1.16E-14
144.531;1.16E-14
145.02;1.06E-14
145.508;9.16E-15
145.996;1.16E-14
146.484;8.83E-15
146.973;1.44E-14
147.461;8.56E-15
147.949;1.47E-14
148.438;1.11E-14
148.926;9.70E-15
149.414;8.43E-15
149.902;7.42E-14
150.391;9.55E-15
150.879;8.81E-15
151.367;9.42E-15
151.855;1.08E-14
152.344;1.15E-14
152.832;1.05E-14
153.32;1.02E-14
153.809;9.47E-15
154.297;8.77E-15
154.785;1.46E-14
155.273;1.12E-14
155.762;1.23E-14
156.25;1.19E-14
156.738;9.85E-15
157.227;1.42E-14
157.715;1.17E-14
158.203;1.58E-14
158.691;1.26E-14
159.18;1.80E-14
159.668;1.78E-14
160.156;1.80E-14
160.645;1.61E-14
161.133;1.70E-14
161.621;1.68E-14
162.109;1.53E-14
162.598;1.68E-14
163.086;1.70E-14
163.574;1.94E-14
164.063;1.39E-14
164.551;1.69E-14
165.039;1.45E-14
165.527;1.43E-14
166.016;1.47E-14
166.504;1.36E-14
166.992;1.32E-14
167.48;1.36E-14
167.969;1.23E-14
168.457;9.83E-15
168.945;1.12E-14
169.434;9.94E-15
169.922;1.25E-14
170.41;8.93E-15
170.898;1.19E-14
171.387;1.13E-14
171.875;8.65E-15
172.363;8.76E-15
172.852;1.24E-14
173.34;9.60E-15
173.828;9.86E-15
174.316;8.02E-15
174.805;1.03E-14
175.293;1.04E-14
175.781;1.31E-14
176.27;9.09E-15
176.758;1.01E-14
177.246;1.16E-14
177.734;1.06E-14
178.223;8.87E-15
178.711;1.05E-14
179.199;1.06E-14
179.688;1.23E-14
180.176;8.05E-15
180.664;1.13E-14
181.152;1.18E-14
181.641;1.10E-14
182.129;1.21E-14
182.617;1.00E-14
183.105;1.40E-14
183.594;9.25E-15
184.082;8.87E-15
184.57;1.08E-14
185.059;9.65E-15
185.547;1.18E-14
186.035;9.96E-15
186.523;9.90E-15
187.012;1.02E-14
187.5;1.00E-14
187.988;1.36E-14
188.477;1.28E-14
188.965;1.09E-14
189.453;1.14E-14
189.941;7.95E-15
190.43;9.48E-15
190.918;1.04E-14
191.406;1.15E-14
191.895;1.18E-14
192.383;1.51E-14
192.871;9.88E-15
193.359;1.14E-14
193.848;1.02E-14
194.336;1.00E-14
194.824;9.40E-15
195.313;9.52E-15
195.801;1.09E-14
196.289;1.51E-14
196.777;1.44E-14
197.266;2.66E-14
197.754;1.03E-14
198.242;9.16E-15
198.73;1.05E-14
199.219;8.46E-15
199.707;1.15E-14
200.195;1.34E-14
200.684;1.21E-14
201.172;8.40E-15
201.66;8.91E-15
202.148;1.26E-14
202.637;9.39E-15
203.125;1.08E-14
203.613;1.16E-14
204.102;1.34E-14
204.59;1.20E-14
205.078;9.82E-15
205.566;9.62E-15
206.055;1.22E-14
206.543;1.04E-14
207.031;8.48E-15
207.52;1.01E-14
208.008;9.07E-15
208.496;1.03E-14
208.984;1.09E-14
209.473;9.86E-15
209.961;9.98E-15
210.449;8.71E-15
210.938;1.30E-14
211.426;1.49E-14
211.914;9.22E-15
212.402;1.05E-14
212.891;1.24E-14
213.379;1.31E-14
213.867;1.17E-14
214.355;1.12E-14
214.844;1.08E-14
215.332;1.07E-14
215.82;1.20E-14
216.309;1.32E-14
216.797;1.39E-14
217.285;1.53E-14
217.773;1.23E-14
218.262;1.13E-14
218.75;1.20E-14
219.238;1.31E-14
219.727;1.14E-14
220.215;1.13E-14
220.703;1.13E-14
221.191;1.09E-14
221.68;1.24E-14
222.168;8.17E-15
222.656;1.04E-14
223.145;1.23E-14
223.633;1.17E-14
224.121;1.18E-14
224.609;1.11E-14
225.098;9.95E-15
225.586;1.07E-14
226.074;1.26E-14
226.563;1.07E-14
227.051;1.13E-14
227.539;1.01E-14
228.027;1.13E-14
228.516;1.40E-14
229.004;1.36E-14
229.492;1.23E-14
229.98;9.10E-15
230.469;9.78E-15
230.957;1.09E-14
231.445;1.04E-14
231.934;9.53E-15
232.422;7.33E-15
232.91;1.16E-14
233.398;8.19E-15
233.887;1.01E-14
234.375;1.10E-14
234.863;1.11E-14
235.352;1.04E-14
235.84;1.11E-14
236.328;1.05E-14
236.816;1.06E-14
237.305;8.88E-15
237.793;9.18E-15
238.281;8.82E-15
238.77;1.09E-14
239.258;9.35E-15
239.746;1.15E-14
240.234;1.02E-14
240.723;1.07E-14
241.211;8.70E-15
241.699;8.17E-15
242.188;1.17E-14
242.676;9.30E-15
243.164;9.75E-15
243.652;9.25E-15
244.141;9.87E-15
244.629;1.46E-14
245.117;1.11E-14
245.605;1.07E-14
246.094;9.09E-15
246.582;1.14E-14
247.07;9.02E-15
247.559;1.30E-14
248.047;9.09E-15
248.535;1.24E-14
249.023;1.59E-14
249.512;2.07E-14
250;4.32E-14
250.488;1.78E-14
250.977;1.26E-14
251.465;1.93E-14
251.953;1.58E-14
252.441;1.30E-14
252.93;1.23E-14
253.418;1.13E-14
253.906;8.91E-15
254.395;1.10E-14
254.883;8.82E-15
255.371;8.44E-15
255.859;1.11E-14
256.348;1.30E-14
256.836;1.24E-14
257.324;1.02E-14
257.813;1.04E-14
258.301;1.13E-14
258.789;1.05E-14
259.277;1.14E-14
259.766;1.27E-14
260.254;9.75E-15
260.742;1.10E-14
261.23;1.17E-14
261.719;1.11E-14
262.207;1.03E-14
262.695;1.25E-14
263.184;9.57E-15
263.672;8.02E-15
264.16;1.00E-14
264.648;1.13E-14
265.137;1.26E-14
265.625;9.70E-15
266.113;1.59E-14
266.602;1.34E-14
267.09;1.39E-14
267.578;1.03E-14
268.066;1.12E-14
268.555;1.13E-14
269.043;1.23E-14
269.531;1.30E-14
270.02;1.19E-14
270.508;1.11E-14
270.996;9.90E-15
271.484;1.13E-14
271.973;1.07E-14
272.461;9.55E-15
272.949;1.18E-14
273.438;1.10E-14
273.926;1.06E-14
274.414;1.28E-14
274.902;1.18E-14
275.391;1.14E-14
275.879;1.06E-14
276.367;1.07E-14
276.855;1.14E-14
277.344;8.19E-15
277.832;1.26E-14
278.32;1.17E-14
278.809;1.05E-14
279.297;1.48E-14
279.785;1.38E-14
280.273;7.89E-15
280.762;1.41E-14
281.25;9.48E-15
281.738;1.44E-14
282.227;1.66E-14
282.715;1.39E-14
283.203;1.26E-14
283.691;1.33E-14
284.18;1.30E-14
284.668;1.35E-14
285.156;1.33E-14
285.645;1.23E-14
286.133;1.19E-14
286.621;1.11E-14
287.109;1.16E-14
287.598;1.10E-14
288.086;1.31E-14
288.574;1.35E-14
289.063;1.05E-14
289.551;9.34E-15
290.039;1.25E-14
290.527;1.07E-14
291.016;1.29E-14
291.504;1.35E-14
291.992;1.25E-14
292.48;1.07E-14
292.969;1.13E-14
293.457;8.49E-15
293.945;1.38E-14
294.434;1.11E-14
294.922;1.06E-14
295.41;1.41E-14
295.898;9.82E-15
296.387;1.23E-14
296.875;1.21E-14
297.363;1.04E-14
297.852;1.45E-14
298.34;1.40E-14
298.828;1.06E-14
299.316;8.57E-15
299.805;1.51E-14
300.293;1.02E-14
300.781;8.53E-15
301.27;9.68E-15
301.758;1.05E-14
302.246;1.39E-14
302.734;1.08E-14
303.223;1.01E-14
303.711;1.28E-14
304.199;9.00E-15
304.688;1.49E-14
305.176;1.14E-14
305.664;1.24E-14
306.152;1.36E-14
306.641;1.24E-14
307.129;9.90E-15
307.617;1.33E-14
308.105;9.59E-15
308.594;1.34E-14
309.082;1.44E-14
309.57;1.21E-14
310.059;8.87E-15
310.547;1.08E-14
311.035;9.06E-15
311.523;1.18E-14
312.012;1.03E-14
312.5;1.13E-14
312.988;1.00E-14
313.477;1.19E-14
313.965;9.30E-15
314.453;8.81E-15
314.941;1.13E-14
315.43;1.13E-14
315.918;1.36E-14
316.406;1.41E-14
316.895;1.07E-14
317.383;9.37E-15
317.871;1.08E-14
318.359;1.30E-14
318.848;9.66E-15
319.336;1.19E-14
319.824;1.13E-14
320.313;1.25E-14
320.801;1.15E-14
321.289;1.08E-14
321.777;9.36E-15
322.266;1.15E-14
322.754;1.19E-14
323.242;1.33E-14
323.73;1.33E-14
324.219;1.66E-14
324.707;9.35E-15
325.195;1.12E-14
325.684;1.26E-14
326.172;1.05E-14
326.66;1.06E-14
327.148;1.34E-14
327.637;1.10E-14
328.125;1.51E-14
328.613;9.97E-15
329.102;1.43E-14
329.59;1.13E-14
330.078;9.74E-15
330.566;1.16E-14
331.055;1.26E-14
331.543;9.43E-15
332.031;1.01E-14
332.52;1.11E-14
333.008;1.02E-14
333.496;1.19E-14
333.984;1.22E-14
334.473;1.20E-14
334.961;1.24E-14
335.449;1.40E-14
335.938;1.31E-14
336.426;1.64E-14
336.914;9.65E-15
337.402;1.07E-14
337.891;1.45E-14
338.379;1.35E-14
338.867;1.09E-14
339.355;1.25E-14
339.844;1.21E-14
340.332;1.37E-14
340.82;1.34E-14
341.309;1.11E-14
341.797;1.38E-14
342.285;1.32E-14
342.773;1.47E-14
343.262;1.31E-14
343.75;1.14E-14
344.238;1.51E-14
344.727;1.02E-14
345.215;1.22E-14
345.703;1.26E-14
346.191;1.24E-14
346.68;1.32E-14
347.168;1.20E-14
347.656;1.01E-14
348.145;1.61E-14
348.633;2.16E-14
349.121;1.95E-14
349.609;3.25E-14
350.098;2.92E-14
350.586;2.75E-14
351.074;5.53E-14
351.563;6.67E-14
352.051;3.90E-14
352.539;4.11E-14
353.027;2.43E-14
353.516;2.63E-14
354.004;1.88E-14
354.492;2.51E-14
354.98;2.16E-14
355.469;1.99E-14
355.957;1.54E-14
356.445;1.58E-14
356.934;1.59E-14
357.422;1.01E-14
357.91;1.38E-14
358.398;1.11E-14
358.887;1.55E-14
359.375;1.14E-14
359.863;1.09E-14
360.352;1.31E-14
360.84;1.25E-14
361.328;1.52E-14
361.816;1.17E-14
362.305;1.07E-14
362.793;1.06E-14
363.281;1.00E-14
363.77;1.08E-14
364.258;1.51E-14
364.746;1.56E-14
365.234;1.01E-14
365.723;1.12E-14
366.211;1.28E-14
366.699;1.07E-14
367.188;1.26E-14
367.676;9.09E-15
368.164;1.10E-14
368.652;1.13E-14
369.141;1.29E-14
369.629;1.10E-14
370.117;1.34E-14
370.605;1.26E-14
371.094;1.02E-14
371.582;8.30E-15
372.07;1.09E-14
372.559;1.15E-14
373.047;1.45E-14
373.535;1.02E-14
374.023;1.26E-14
374.512;9.07E-15
375;1.22E-14
375.488;1.23E-14
375.977;1.22E-14
376.465;9.42E-15
376.953;1.26E-14
377.441;1.40E-14
377.93;9.94E-15
378.418;1.02E-14
378.906;1.25E-14
379.395;1.07E-14
379.883;1.44E-14
380.371;1.05E-14
380.859;1.32E-14
381.348;1.24E-14
381.836;1.13E-14
382.324;9.72E-15
382.813;1.04E-14
383.301;1.04E-14
383.789;1.68E-14
384.277;1.50E-14
384.766;1.28E-14
385.254;1.28E-14
385.742;1.79E-14
386.23;1.07E-14
386.719;1.39E-14
387.207;9.85E-15
387.695;9.32E-15
388.184;1.48E-14
388.672;1.54E-14
389.16;1.31E-14
389.648;1.83E-14
390.137;1.68E-14
390.625;1.31E-14
391.113;2.11E-14
391.602;1.78E-14
392.09;2.59E-14
392.578;2.22E-14
393.066;1.62E-14
393.555;1.72E-14
394.043;1.56E-14
394.531;1.49E-14
395.02;1.60E-14
395.508;1.92E-14
395.996;1.45E-14
396.484;1.15E-14
396.973;1.24E-14
397.461;1.26E-14
397.949;1.18E-14
398.438;9.94E-15
398.926;1.19E-14
399.414;1.46E-14
399.902;1.26E-14
400.391;1.76E-14
400.879;9.87E-15
401.367;1.16E-14
401.855;1.31E-14
402.344;1.04E-14
402.832;1.23E-14
403.32;1.11E-14
403.809;1.53E-14
404.297;9.95E-15
404.785;1.14E-14
405.273;1.05E-14
405.762;1.39E-14
406.25;1.24E-14
406.738;1.54E-14
407.227;1.29E-14
407.715;1.16E-14
408.203;1.51E-14
408.691;1.11E-14
409.18;1.79E-14
409.668;2.30E-14
410.156;2.30E-14
410.645;2.71E-14
411.133;3.47E-14
411.621;6.05E-14
412.109;7.22E-14
412.598;3.52E-14
413.086;2.18E-14
413.574;2.25E-14
414.063;1.58E-14
414.551;1.38E-14
415.039;1.25E-14
415.527;1.40E-14
416.016;1.15E-14
416.504;1.47E-14
416.992;1.20E-14
417.48;1.51E-14
417.969;1.40E-14
418.457;1.57E-14
418.945;1.36E-14
419.434;9.82E-15
419.922;1.12E-14
420.41;1.47E-14
420.898;8.78E-15
421.387;1.24E-14
421.875;1.12E-14
422.363;1.23E-14
422.852;1.21E-14
423.34;1.14E-14
423.828;1.28E-14
424.316;1.21E-14
424.805;1.24E-14
425.293;1.13E-14
425.781;1.27E-14
426.27;1.15E-14
426.758;1.67E-14
427.246;1.33E-14
427.734;9.59E-15
428.223;9.21E-15
428.711;1.22E-14
429.199;9.81E-15
429.688;1.18E-14
430.176;9.73E-15
430.664;1.12E-14
431.152;1.34E-14
431.641;8.80E-15
432.129;1.16E-14
432.617;1.18E-14
433.105;1.19E-14
433.594;1.18E-14
434.082;1.00E-14
434.57;1.20E-14
435.059;2.04E-14
435.547;1.61E-14
436.035;1.25E-14
436.523;8.90E-15
437.012;1.57E-14
437.5;1.54E-14
437.988;1.22E-14
438.477;1.45E-14
438.965;1.17E-14
439.453;1.00E-14
439.941;1.11E-14
440.43;9.79E-15
440.918;1.10E-14
441.406;1.20E-14
441.895;1.39E-14
442.383;9.06E-15
442.871;9.13E-15
443.359;1.25E-14
443.848;1.09E-14
444.336;1.61E-14
444.824;1.54E-14
445.313;1.26E-14
445.801;1.18E-14
446.289;1.19E-14
446.777;1.18E-14
447.266;1.01E-14
447.754;1.31E-14
448.242;1.22E-14
448.73;1.08E-14
449.219;1.22E-14
449.707;4.14E-14
450.195;1.97E-14
450.684;1.21E-14
451.172;1.06E-14
451.66;1.21E-14
452.148;1.22E-14
452.637;1.20E-14
453.125;1.42E-14
453.613;1.39E-14
454.102;9.69E-15
454.59;1.09E-14
455.078;1.27E-14
455.566;1.12E-14
456.055;1.35E-14
456.543;1.58E-14
457.031;1.50E-14
457.52;1.88E-14
458.008;1.88E-14
458.496;2.00E-14
458.984;2.03E-14
459.473;2.21E-14
459.961;2.73E-14
460.449;2.61E-14
460.938;3.58E-14
461.426;4.59E-14
461.914;6.47E-14
462.402;8.24E-14
462.891;4.00E-14
463.379;2.90E-14
463.867;2.73E-14
464.355;2.24E-14
464.844;1.83E-14
465.332;1.96E-14
465.82;2.20E-14
466.309;2.11E-14
466.797;1.71E-14
467.285;1.51E-14
467.773;1.50E-14
468.262;1.57E-14
468.75;1.27E-14
469.238;1.31E-14
469.727;8.86E-15
470.215;1.30E-14
470.703;1.25E-14
471.191;1.35E-14
471.68;1.59E-14
472.168;1.20E-14
472.656;1.42E-14
473.145;1.15E-14
473.633;1.09E-14
474.121;1.19E-14
474.609;1.29E-14
475.098;9.93E-15
475.586;1.33E-14
476.074;1.12E-14
476.563;1.44E-14
477.051;1.11E-14
477.539;1.35E-14
478.027;1.13E-14
478.516;9.50E-15
479.004;1.27E-14
479.492;1.21E-14
479.98;1.31E-14
480.469;1.60E-14
480.957;1.84E-14
481.445;1.05E-14
481.934;1.38E-14
482.422;1.41E-14
482.91;1.48E-14
483.398;1.22E-14
483.887;1.33E-14
484.375;1.21E-14
484.863;1.84E-14
485.352;1.70E-14
485.84;1.58E-14
486.328;1.28E-14
486.816;1.90E-14
487.305;1.60E-14
487.793;1.79E-14
488.281;2.00E-14
488.77;1.95E-14
489.258;4.53E-14
489.746;6.33E-14
490.234;3.39E-14
490.723;2.09E-14
491.211;1.60E-14
491.699;2.23E-14
492.188;1.54E-14
492.676;1.63E-14
493.164;1.05E-14
493.652;1.55E-14
494.141;1.20E-14
494.629;1.13E-14
495.117;1.56E-14
495.605;1.41E-14
496.094;1.44E-14
496.582;1.59E-14
497.07;9.02E-15
497.559;1.16E-14
498.047;1.70E-14
498.535;8.72E-15
499.023;1.44E-14
499.512;1.96E-14
